TICKER,RSI,STOCH,SHARPE,TREYNOR,P/VL
CPAC,69.86,49.01,1.41,51.37,1.49
CPAR,90.33,92.43,1.47,19.49,0.62
CPB,43.88,21.84,0.14,21.66,3.62
CPE,62.98,10.08,1.79,83.01,3.3
CPF,80.23,54.49,0.73,25.9,3.13
CPG,34.56,84.73,1.5,69.11,3.43
CPHC,53.15,17.01,1.95,83.29,0.22
CPHI,53.96,84.97,0.59,20.8,0.82
CPIX,89.12,15.37,0.12,18.25,0.74
CPK,98.37,39.41,1.65,13.81,3.89
CPLG,62.34,72.17,0.67,55.96,3.88
CPLP,99.19,82.47,0.76,88.8,1.42
CPNG,33.73,78.42,0.49,20.64,2.21
CPOP,84.07,38.38,0.35,20.36,0.38
CPRI,23.31,76.95,1.99,12.34,1.78
CPRT,82.83,55.54,1.55,47.21,2.29
CPRX,36.88,79.72,0.28,61.3,2.85
CPS,67.95,73.86,1.84,59.14,2.45
CPSH,10.4,33.31,1.58,40.84,2.11
CPSI,32.84,84.97,0.59,32.2,1.74
CPSR,81.39,54.8,1.18,42.99,3.85
CPSS,83.01,54.74,0.04,65.42,3.34
CPT,91.8,76.16,0.33,66.3,3.44
CPTA,63.1,25.35,0.19,82.85,1.67
CPTK,89.94,23.75,0.67,99.04,3.16
CPTP,52.89,63.02,0.16,30.66,3.71
CPUH,46.74,25.43,1.85,70.42,1.23
CQP,26.07,52.97,1.12,58.31,0.97
CR,19.3,20.86,0.45,78.1,3.83
CRAI,85.92,32.82,0.51,76.56,3.38
CRBO,80.56,98.72,1.92,53.78,0.27
CRBP,27.35,27.07,0.21,46.48,1.28
CRC,58,30,0.69,27.18,3.59
CRCT,17.8,13.41,0.14,94.08,0.81
CRD.A,82.35,59.99,1.99,71.62,3.35
CRD.B,90.84,55.92,1.28,52.54,0.42
CRDF,52.09,12.22,1.49,31.88,2.44
CREE,32.53,78.72,1.36,13.62,3.33
CREG,20.62,10.92,0.84,13.72,0.82
CRESY,92.69,32.16,0.04,43.52,0.61
CREX,65.85,34.76,1.59,16.83,2.57
CRGS,15.67,97.54,0.21,51.12,3.12
CRH,24.48,51.97,1.08,72.26,2.68
CRHC,89.12,94.49,0.84,11.67,3.45
CRHM,33.77,13.75,0.41,58.83,3.94
CRI,21.01,31.84,1.43,13.25,3.61
CRIS,66.92,46.68,1.61,61.5,1.31
CRK,70.74,88.02,0.73,24.61,0.92
CRKN,87.17,69.89,0.82,11.07,3.95
CRL,74.46,21.92,1.55,65.1,3.1
CRM,97.05,61.79,1,63.12,0.05
CRMD,90.49,87.3,0.77,74.41,1.05
CRMT,54.59,19.5,0.35,49.07,1.54
CRMZ,56.59,93.56,0.4,24.39,1.75
CRNC,30.01,45.07,1.65,87.74,3.16
CRNT,53.35,80.33,0.85,37.57,2.54
CRNX,27.22,38.04,1.99,70.4,1.77
CRON,29.25,40.96,0.29,21.57,2.47
CROX,63.07,19.06,1.42,26.85,3.51
CRS,72.29,66.43,1.19,68.25,2.66
CRSA,31.61,34.67,0.22,15.95,2.26
CRSP,94.02,73.96,1.69,23.17,3.9
CRSR,89.63,59.1,1.96,95.27,3.71
CRT,22.9,17.55,1.68,93.2,2.3
CRTD,24.88,11.52,1.65,73.99,1.83
CRTO,66.38,60.31,0.62,79.48,0.05
CRTX,29.75,88.11,1.04,26.47,2.26
CRU,56.84,93.62,1.37,63.2,3.12
CRUA,17.24,77.51,0.11,28.79,1.24
CRUB,39,52.29,0.71,37.27,2.38
CRUS,62.62,18.88,1.13,10.1,3.85
CRVL,14.84,89.25,1.44,68.49,3.22
CRVS,62.7,70.17,1.98,43.19,1.12
CRVW,12.53,77.54,1.13,41.58,0.74
CRWD,77.44,95.07,1.03,36.22,3.74
CRWS,94.9,29.63,1.9,12.92,1.86
CRXM,96.2,99.95,0.61,67.71,2
CRY,86.13,48.08,0.72,28.18,3.71
CRZN,66.38,79.58,0.97,18.12,1.5
CS,49.79,95.13,1.27,51.9,0.29
CSBB,84.23,35.78,0.59,89.04,3.96
CSBR,45.69,61.21,0.39,13.34,2.13
CSCO,24.3,62.06,0.68,42.61,3.45
CSCW,76.98,18.79,1.35,51.39,0.26
CSGP,19.12,88.71,1.84,93.71,1.98
CSGS,44.98,92.7,1.44,34.73,2.87
CSIC,53.22,83.38,0.93,10.98,3.92
CSII,19.68,66.43,1.55,70.37,3.18
CSIQ,13.89,46.46,1.4,15.31,3.1
CSL,68.9,97.17,1.23,89.39,3.79
CSLT,53.57,97.56,0.09,70.63,0.99
CSOD,59.07,78.65,0.13,56.86,1.83
CSPI,31.6,64.88,1.38,53.46,1.17
CSPR,19.39,33.35,0.73,38.05,2.02
CSR,48.58,88.81,0.11,44.55,0.81
CSSE,15,32.85,0.79,23.04,0.16
CSTA,45.93,90.11,1.7,80.91,1.46
CSTE,58.75,62.15,0.37,86.24,3.16
CSTL,68.61,58.88,0.64,95.14,1.28
CSTM,37.94,17.42,0.66,12.13,0.68
CSTR,41.74,47.52,0.62,67.99,0.83
CSU,42.62,66.96,1.06,54.81,1.74
CSV,37.16,38.31,0.34,33.66,3.38
CSWC,16.39,91.41,0.39,41.7,1.22
CSWI,28.79,65.69,0.23,54.71,0.14
CSX,76.51,91.02,1.35,89.56,2.62
CTAC,46.01,26.12,0.15,23.74,3.58
CTAQ,55.69,89.46,0.56,11.76,1.74
CTAS,21.88,61.51,1.08,10.31,1.8
CTB,94.18,48.35,1.76,42.67,0.37
CTBI,45.22,27.4,1.42,21.91,1.65
CTEK,50.12,92.45,0.42,77,2.18
CTG,19.4,52.31,0.83,99.88,1.18
CTHR,14.59,38.12,1.28,22.57,0.01
CTIB,57.71,21.48,0.22,76.84,0.36
CTIC,60.67,27.34,0.38,96.04,2.5
CTII,84.35,19.76,1.28,93.57,2.02
CTK,52.72,45.36,0.36,22.91,1.92
CTLP,91.28,64.69,0.47,55.02,3.2
CTLT,34.55,74.63,1.8,26.85,2.98
CTMX,68.45,35.47,1.49,69.55,1.43
CTO,26.23,95.58,1.74,60.11,0.79
CTOS,45.29,32.38,1.15,48.28,1.9
CTRE,21.06,91.15,0.66,77.06,3.46
CTRM,17.4,10.19,0.31,61.19,0.01
CTRN,17.11,68.22,0.09,21.26,0.57
CTS,36.47,73.17,1.84,80.81,2.35
CTSH,61.73,26.03,0.5,44.52,3.48
CTSO,90.63,12.31,1.53,58.7,3.99
CTT,67.71,77.58,1.14,60.94,0.77
CTVA,43.43,10.96,0.7,70.77,2.24
CTXR,63.08,25.99,0.91,73.07,0.99
CTXS,66.61,75.1,1.34,17.41,2.35
CUB,12,43.48,1.18,34.98,2.61
CUBE,67.03,42.82,1.32,53.31,2.57
CUBI,13.42,72.39,0.93,84.41,3.88
CUE,16.28,19.09,0.64,65.85,0.52
CUEN,46.22,77.14,1.02,26.18,0.94
CUK,43.37,39.17,0.99,73.54,2.99
CULP,35.01,73.09,1.24,94.04,0.26
CURI,36.67,54.47,0.69,13.25,2.81
CURLF,52.35,18.73,1.6,35.77,0.84
CURO,36.61,74.23,1.58,96,2.29
CURR,77.4,47.06,0.23,30.54,1.68
CUTR,93.66,64.94,0.99,75.84,3.29
CUZ,49.42,95.49,1.75,22.06,0.28
CVA,54.52,77.2,1.17,76.39,0.29
CVAC,82.52,12.67,0.36,24.95,0.19
CVBF,89.84,29.66,1.21,84.71,3.25
CVCO,85.5,96.63,1.7,64.17,1.39
CVCY,64.97,27.99,1.86,36.92,2.66
CVE,35.27,39.58,1.7,82.17,2.57
CVEO,72.83,21.16,0.78,95.52,3.47
CVET,11.47,79.41,1.53,33.06,1.33
CVGI,66.65,83.4,0.49,22.32,2.61
CVGW,38.72,33.43,0.53,95.48,0.05
CVI,59.38,10.75,1.83,43.4,2.61
CVII,85.94,63.29,1.26,86.44,2.41
CVLG,65.86,33.96,1.61,93.9,1.51
CVLT,54.48,89.03,1.79,80.97,3.21
CVLY,46.51,12.05,0.03,58.06,1.47
CVM,62.56,58.16,1.52,32.7,0.84
CVNA,47.1,10.63,0.56,43.71,1.16
CVR,54.6,14.96,0.31,19.39,1.96
CVS,45.27,75.29,1.84,99.78,3.17
CVSI,92.61,77.31,0.37,25.73,1.14
CVU,98.56,78.82,0.93,44.03,3.96
CVV,39.23,87.71,0.49,52.5,1.9
CVX,20.3,64.22,0.64,68.9,1.59
CW,91.84,74.05,0.89,65.16,2.51
CWBC,99.18,70.67,1.82,49.13,1.48
CWBHF,17.84,30.98,0.1,14.18,3.54
CWBR,74.78,54.76,1.43,51.97,0.86
CWCO,43.69,65.38,1.83,42.24,0.46
CWEN,22.22,59.27,1.85,15.46,1.13
CWEN.A,91.04,75.34,0.16,86.84,2.55
CWGL,10.83,54.6,1.34,73.88,3.44
CWH,42.38,79.83,1.5,34.8,1.59
CWK,39.72,94.44,1.76,50.43,1.47
CWST,73.47,29.69,0.84,21.12,3.18
CWT,37.76,39.43,0.54,74.38,0.86
CX,87.26,67.49,0.59,96.15,1.45
CXDC,47.56,37.92,1.37,29.47,0.45
CXDO,94.44,53.23,1.05,56.17,2.25
CXP,55.54,91.47,1.52,37.19,1.12
CXRXF,37.42,80.27,0.3,39.12,0.72
CXW,84.79,92.18,1.67,86.86,2.92
CYAD,92.75,36.59,1.6,56.1,1.01
CYAN,36.57,89.85,0.78,46.46,1.72
CYBE,37.25,99.02,1.46,84.1,2.72
CYBR,46.74,12.51,0.62,58.85,1.33
CYCC,53.43,28.45,0,50.61,0.7
CYCN,63.22,97.07,1.21,26.76,1.38
CYD,17.88,97.95,0.99,29.34,0.89
CYDY,25.76,79.05,0.56,57.14,1.99
CYH,85.49,99.33,1.13,77.64,3.25
CYRN,62.76,77.39,1.12,66.8,1.6
CYRX,32.32,64.92,0.29,37.79,3.31
CYTH,82.97,69.21,0.77,45.41,1.38
CYTK,14.33,94.91,0.1,96.99,1.07
CYTR,81.57,98.91,1.29,68.79,1.74
CZFS,54.08,35.53,1.31,46.57,3.07
CZNC,87.28,91.13,1.98,38.77,1.4
CZR,63.28,70.14,0.36,17.75,3.85
CZWI,56.5,33.25,1.07,20.8,2.65
D,74.37,85.16,0.01,62.89,3.04
DAC,59.13,41.72,1.59,80,0.9
DADA,34.54,97.8,0.2,89.36,3.7
DAIO,23.7,59.21,0.3,93.53,2.66
DAKT,39.5,99.69,1.19,96.42,1.36
DAL,13.48,36.88,0.93,84.41,1.48
DAN,22.98,66.16,1.73,94.35,1.86
DAO,22.73,33.03,0.96,21.03,1.94
DAR,41.9,73.63,1.06,78.55,2.64
DARE,72.52,65.43,1.51,86.52,0.52
DASH,60.59,48.08,1.5,33.19,0.52
DAVA,55.96,28.83,0.04,31.36,3.31
DAWN,19.37,40.73,1.42,72.76,3.99
DB,92.99,50.87,1.52,94.62,0.3
DBD,16.75,34.14,0.02,27.01,0.58
DBDR,29.98,87.03,0.44,40.7,1.59
DBGI,27.69,95.55,0.96,28.7,0.25
DBI,53.14,46.64,0.74,90.71,1.6
DBTX,23.94,98.59,1.08,12.08,2.11
DBVT,70.72,26.21,1.71,86.83,2.2
DBX,16.6,58.7,0.3,32.49,3.95
DCBO,52.87,76.44,0.76,37.76,2.67
DCI,74.8,74.61,0.23,42.77,1.2
DCO,98.01,31.35,1.32,28.83,2.74
DCOM,51.75,91.81,1.08,63.77,1.78
DCP,61.91,31.99,1.78,61.29,1.21
DCPH,27.71,24.25,0.63,33.62,2.13
DCRB,25.64,65.67,0.25,50.5,0.17
DCRC,44.35,99.16,0.5,44.04,1.66
DCRD,63.09,67.93,0.36,60.31,1.45
DCRN,64.93,87.28,0.57,24.77,3.66
DCT,87.65,97.58,0.28,13.13,1.22
DCTH,67.67,33.7,1.05,30.31,3.78
DD,67.39,13.85,1.63,36.68,2.38
DDAIF,13.38,53.06,0.84,61.03,1.42
DDD,72.21,12.87,0.04,53.37,3.87
DDDX,62.3,95.96,0.4,88.23,3.25
DDMX,27.83,97.14,0.42,37.41,1.11
DDOG,21,18.69,0.02,34.77,2.84
DDS,89.97,33.61,0.01,43.42,0.16
DE,47.44,38.11,0.64,69.94,1.18
DEA,21.64,33.42,0.18,52.41,1.45
DECI,91.16,90.04,0.23,30.8,2.64
DECK,39.17,91.06,1.99,49.27,1.13
DEH,20.94,92.69,1.37,62.25,2.27
DEI,89.06,28.56,1.7,25.17,1.27
DELL,28.16,78.45,1.65,90.76,3.17
DEN,70.89,84.69,1.16,34.12,0.36
DENN,43.63,47.34,0.61,19.48,1.53
DEO,89.79,87.81,1.87,15.8,0.57
DESP,10.73,30.54,0.81,54.61,2.02
DFFN,22.21,57.93,1.68,48.55,0.96
DFH,36.72,71.29,0.46,17.02,2.08
DFHT,32.96,62.92,0.1,13.83,2.64
DFIN,52.45,67.49,1.88,87.06,3.18
DFNS,91.55,96.67,0.99,58.12,1.59
DFODQ,78.96,76.18,1.55,10.15,1.62
DFPH,96.86,56.4,1.24,89.81,3.17
DFS,19.86,83.05,1.43,55.13,0.37
DG,79.76,64.57,1.2,97.68,1.45
DGICA,74.4,78.64,0.69,33.38,2.5
DGICB,56.21,71.75,0.85,11.96,1.29
DGII,32.98,18.61,0.75,13.59,0.64
DGLY,80.11,15.16,1.52,19.55,1.34
DGNR,91.97,44.13,1.01,70.98,3.73
DGNS,62.78,29.88,0.05,67.99,3.78
DGNU,69.6,66.15,0.46,96.12,0.93
DGON,14.62,83.77,1.13,82.26,1.91
DGX,15.67,75.13,1.71,27.93,1.12
DHBC,11.11,16.27,0.55,24.31,0.71
DHC,34.27,23.78,0.75,66.4,3.94
DHCA,12.85,82.58,1.35,44.41,2.88
DHCC,71.74,10.87,1.92,25.89,2.06
DHHC,26.06,78.84,0.25,85.15,1.56
DHI,89.21,25.06,1.94,33.68,3.45
DHIL,56,49.84,0.67,30.93,3.72
DHR,23.07,79.85,0.63,74.39,3.35
DHT,71.85,12.68,1.65,98.57,1.91
DHX,61.18,32.41,0.79,88.12,1.21
DIIBF,39.32,89.13,0.41,90.32,1.3
DIII,53.96,85.61,0.59,29.2,1.32
DILA,28.2,32.53,1.64,34.6,3.49
DIN,34.93,70.39,0.44,89.83,3.31
DIOD,33.65,76.66,0.35,47.46,1
DIS,28.87,49.11,1.65,70.12,1.62
DISA,41.14,85.74,0.19,31.47,3.7
DISCA,25.97,97.07,1.97,32.09,0.56
DISCB,36.57,74.01,0.02,39.15,1.52
DISCK,11.34,75.65,1.53,54.65,3.73
DISH,10.18,30.35,1.78,32.71,3.73
DIST,57.94,66.58,0.88,37.9,0.83
DIT,79.6,59.01,1.75,48.1,3.72
DJCO,28.32,29.96,0.24,37.74,3.56
DK,50.47,34.23,1.85,96.11,3.05
DKDCA,50.49,53.4,1.75,53.19,3.28
DKL,99.24,70.94,1.38,45.58,2.95
DKNG,47.08,33.14,0.58,66.11,1.91
DKS,77.33,11.45,1.31,93.51,1.19
DL,81.51,90.42,1.39,78.07,2.88
DLA,78.9,40.11,1.18,64.51,2.95
DLAKY,77.12,17.27,1.22,71.6,0.19
DLB,26.07,39.6,1.92,37.25,0.35
DLCA,13.29,47.5,0.35,54.3,2.05
DLGNF,15.48,23.73,1.38,33.28,2.25
DLHC,62.15,97.15,1.95,27.12,2.56
DLNG,13.76,40.52,1.64,54.93,3.06
DLO,83.92,71.23,1.8,39.87,1.91
DLPN,60.49,57.57,1.63,63.11,2.77
DLR,92.97,89.83,0.84,89.96,2.56
DLTH,36.61,73.99,0.96,67.86,1.04
DLTR,64.08,52.93,0.76,92.78,3.13
DLX,38.65,20.35,0.26,11.9,1.06
DM,75.44,33.49,1.83,40.09,2.3
DMAC,27.06,26.65,0.86,32.84,2.72
DMLP,47.3,85.11,1.96,64.23,0.28
DMRC,39.6,56.76,0.64,12.33,1.91
DMS,83.52,39.76,1.97,46.61,2.18
DMTK,33.18,32.16,0.45,15.41,0.19
DMYI,53.31,79.53,0.17,69.27,2.55
DMYQ,20.45,62.92,0.6,61.57,1.01
DNB,26.01,25.39,0.78,49.38,2.56
DNK,18.88,75.29,0.62,30.47,0.83
DNLI,20.59,88.89,0.43,85.45,0.98
DNMR,43.43,65.94,0.83,95.75,1.48
DNN,35.15,65.98,1.33,55.13,1.41
DNOW,50.63,56.43,0.9,99.49,0.77
DNZ,67.67,32.91,0.59,76.26,3.04
DOC,46.71,79.78,0.14,53.53,3.4
DOCN,24.63,36.1,1.76,59.18,2.52
DOCU,27.85,35,1.84,70.03,3.76
DOFSQ,12.31,22,1.37,86.88,1.89
DOGZ,37.86,31.51,0.07,35.03,1.98
DOIT,30.02,96.63,0.27,70.92,1.85
DOMO,38.21,63.97,1.97,66.59,1.31
DOOO,25.55,12.33,0.51,78.76,2.43
DOOR,77.39,76.83,1.32,52.57,1.44
DORM,49.27,61.25,0.64,30.54,1.07
DOV,30.61,43.98,1.74,40.87,0.31
DOW,52.1,67.52,0.11,89.35,3.84
DOX,16,53.57,0.05,62.05,0.69
DOYU,60.97,27.33,0.65,93.82,0.3
DPW,47.56,76.35,0.47,58.71,2.4
DPZ,17.32,21.66,0.22,10.91,2.22
DQ,57.56,30.01,1.31,19.55,3.95
DRD,54.46,85.41,1.82,59.37,3.8
DRE,88.33,47.51,1.2,19.13,1.9
DRH,38.29,29.02,1.75,65.69,3.75
DRI,80.4,99.56,0.91,15.64,3.83
DRIO,78.29,29.49,0.64,75.94,2.29
DRNA,20.44,19.73,0.92,31.27,1.36
DRQ,57.73,24.78,1.34,98.39,3.74
DRRX,28.27,10.04,1,19.34,1.68
DRS,93.59,70.08,1.12,80.68,0.61
DRTT,24.68,82.41,1.38,90.71,3
DRVN,22.45,25.17,2,45.17,1
DS,91.97,31.88,1.29,56.64,2.59
DSAC,51.08,77.89,1.16,80.54,3.12
DSEY,83.96,95.67,0.84,84.68,2.47
DSGN,86.96,44.29,1.57,25.42,3.43
DSGX,91.37,96.66,1.58,75.63,1.02
DSKE,99.03,53.92,0.88,17.55,0.09
DSNY,78.08,18.27,0.53,11.32,0.38
DSP,31.42,64.17,0.34,58.58,0.58
DSPG,78.56,36.94,1.65,34.84,3.43
DSPQ,78.01,58.96,0.98,12.11,1.72
DSS,79.79,66.49,0.09,36.11,2.76
DSSI,47.78,17.7,0.56,46.18,0.48
DSWL,41.49,74.08,0.42,28.05,1.34
DSX,30.01,64.05,1.61,91.58,2.85
DT,73.4,19.7,1.87,36.89,0.88
DTE,82.13,84.9,0.02,45.65,3.5
DTEA,32.39,71.11,1.16,29.39,0.43
DTIL,59.47,34.5,1.51,43.23,2.58
DTOC,25.45,44.05,1.98,81.4,1.87
DTRK,21.5,95.08,1.61,85.09,3.13
DTSS,82.71,34.16,1.92,17.54,1.71
DTST,10.08,80.32,0.08,42.36,3.11
DUK,70.4,90.42,0.03,96.34,2.72
DUNE,59.36,13.54,0.11,26.54,3.82
DUO,37.84,37.02,1.18,86.74,2.52
DUOT,37.1,73.4,1.65,58.53,0.99
DV,22.44,69.37,0.27,28.68,2.03
DVA,70.54,84.43,1.44,14.62,0.67
DVAX,60.21,47.14,0.64,59.17,2.8
DVCR,17.79,50.27,0.84,18.54,2.22
DVD,82.6,58.16,1.22,25.05,0.01
DVN,75.88,75.92,1.85,71.65,0.48
DWIN,48.53,82.81,1.79,49.9,3.6
DWSN,14.56,11.1,0.54,57.26,3.63
DX,58.6,44.42,1.91,15.9,2.11
DXC,36.57,41.22,1.85,26.54,2.1
DXCM,45.83,75.22,0.14,99.4,3.11
DXF,63.01,13.24,0.4,73.48,2.29
DXLG,50.53,41.87,0.58,20.66,1.82
DXPE,36.12,96.3,1.85,97.27,2.21
DXR,13.66,86,0.13,53.36,1.76
DXYN,34.62,72.06,0.34,32.66,2.93
DY,21.5,81.15,0.99,38.76,1.91
DYAI,34.44,57.54,0.83,28.41,1.42
DYN,60.66,18.77,0.96,96.23,0.23
DYNS,38.07,67.7,1.21,79.85,3.36
DYNT,45.35,61.64,0.66,33.87,0.25
DYSL,11.12,56.67,0.99,50.72,3.17
DZSI,40.6,51.54,1.41,87.25,1.15
E,99.81,71.71,0.63,45.93,2.77
EA,70.79,70.52,0.15,39.4,3.43
EAC,65.86,26.69,0.48,55.97,0.72
EAF,44.4,58.81,1.87,13.49,1.35
EAR,76.92,13.77,1,42.72,0.91
EARN,29.77,10.02,0.61,65.43,0.2
EARS,89.96,98.92,1.39,30.71,1.86
EAST,68.09,92.13,0.75,19.07,2.62
EAT,66.44,21.01,0.51,92.94,0.72
EB,68.54,46.21,0.9,55.84,1.45
EBAC,32.6,78.73,0.73,53.12,0.69
EBAY,82.97,36.02,1.35,94.71,2.64
EBC,73.49,46.34,0.43,80.44,1.18
EBET,58.64,43.59,0.33,35.2,2.19
EBF,15.12,69.37,1.86,76.46,2.66
EBIX,37.19,51.73,1.57,61.54,0.71
EBMT,55.43,61.23,0.52,20.58,3.11
EBODF,17.76,49.07,0.5,48.26,1.54
EBON,80.67,53.76,0.45,34.67,1.51
EBR,26.65,98.15,0.45,50.92,2.4
EBS,84.11,87.83,1.62,24.04,1.1
EBSB,17.16,11.68,0.25,79.51,1.72
EBTC,88.08,78.5,0.9,67.45,3.48
EC,13.63,25.48,1.83,28.28,2.04
ECC,29.87,24.01,0.27,97.62,0.32
ECEZ,54.98,19.42,0.92,60.15,0.28
ECHO,24.27,88.03,0.96,40.25,0.59
ECIA,44.44,48.68,0.92,13.28,1.84
ECL,72.83,32.7,1.22,85,0.82
ECOL,40.44,25.03,1.86,59.48,1.08
ECOM,39.77,49.94,0.58,58.12,1.29
ECOR,68.22,70.18,1.1,80.55,0.37
ECPG,40.42,31.55,0.98,70.44,0.22
ECPN,89.71,81.75,1.11,10.22,3.7
ECTE,45.2,81.42,0.32,16.64,3.84
ECTM,15.04,94.5,1.61,72.24,1.05
ED,76.89,26.2,0.82,29.28,3.23
EDAP,91.01,36.64,0.7,58.7,2.55
EDIT,88.04,52.07,0.22,34.39,0.75
EDN,86.75,77.2,1.59,95.79,2.19
EDR,69.52,64.86,0.25,80.55,3.42
EDRY,36.52,73.94,0.23,63.76,3.32
EDSA,35.63,30.96,0.76,67.29,1.3
EDTK,43.46,29.29,0.66,60.24,0.31
EDTX,88.7,44.46,1.75,65.97,3.4
EDU,70.74,70.33,0.22,47.4,0.55
EDUC,47.87,44.74,0.47,82.57,1.41
EEFT,87.9,18.64,1.38,57.62,1.59
EEIQ,46.85,85.15,1.01,56.54,1.96
EEX,64.37,19.22,1.24,53.09,1.81
EFBI,23.09,47.53,1.7,13.76,2.07
EFC,14.04,57.43,0.82,37.13,1.44
EFOI,11.98,36.05,1.87,95.53,0.29
EFSC,64.23,73.65,0.92,22.75,3.61
EFSI,58.63,62.42,1.47,63.55,0.59
EFX,64.94,28.96,0.54,69.34,3.27
EGAN,54.57,97.59,1.32,66.66,3
EGBN,50.08,97.68,1.51,94.71,2.44
EGGF,22.98,18.37,0.21,29.58,0.62
EGHT,51.41,30,0.87,22.58,0.21
EGLE,35.71,28.64,0.48,54.34,3.44
EGLX,56.67,17.04,1.62,38.55,2.63
EGO,11.43,30.32,0.84,24.99,2.29
EGP,56.96,97.74,1.49,68.69,2.5
EGRX,47.95,88.64,1.18,28.01,2.41
EGY,82.55,66.68,0.46,66.57,0.86
EH,75.88,13.47,1.81,60.07,2.92
EHC,76.41,11.51,0.62,58.79,3.32
EHTH,92.57,90.87,0.83,39.21,1.84
EIC,37.07,39.21,0.17,58.22,1.19
EIG,98.65,53.14,0.29,65.09,0
EIGR,69.09,41.22,0.31,28.9,3.4
EIPA,63.59,79.69,0.31,40.94,1.73
EIX,45.97,48.46,1.74,90.81,2.5
EJFA,62.32,88.31,0.22,55.85,3.04
EKSO,90.76,30.57,1.59,80.01,3.73
EL,14.3,92.69,0.87,11.65,1.43
ELA,12.78,62.28,0.92,11.4,2.46
ELAN,26.58,62.03,1.49,44.77,1.45
ELDN,39.86,87.52,0.49,91.17,3.09
ELF,68.34,88.63,1.66,90.48,2.73
ELLO,40.01,10.25,1.96,47.6,2.2
ELMD,90.82,11.63,0.26,85.91,1.03
ELOX,97.14,37.8,0.76,25.13,1.01
ELP,97.1,75.23,1.66,33.56,3.61
ELS,60,81.75,0.34,47.58,2.31
ELSE,43.35,36.51,1.13,15.15,3.55
ELTK,65.24,30.28,1.16,47.78,3.09
ELTP,48.91,75.04,0.85,35.21,1.21
ELVT,36,24.33,1.07,49.49,1.4
ELY,17.71,17.38,1.8,32.46,3.65
ELYS,90.24,61.8,0.87,41.79,3.14
EM,71.57,68.67,0.07,26.82,3.47
EMAN,52.16,22.51,1.13,24.93,3.08
EMCF,96.7,86.45,1.55,70.09,0.49
EME,68.55,25.65,1.8,74.83,3.36
EMITF,46.33,55.74,0.4,21.02,0.55
EMKR,40.49,24.96,0.84,34.91,3.5
EML,52.79,92.09,1.52,88.23,3.95
EMMA,33.76,97.17,0.03,95.1,1.43
EMMS,63.73,19.11,1.97,57.73,0.81
EMN,90.9,96.13,0.43,69.02,1.33
EMPW,39.76,43.19,0.71,69.48,3.17
EMR,10.27,18.55,1,37.87,3.4
EMRAF,47.44,28.18,0.87,35.03,1.51
EMX,61.59,78.08,0.6,91.28,1.74
EMYB,72.55,62.95,1,28.55,0.97
ENB,71.3,96.41,1.78,77.53,2.33
ENBL,28.23,67.59,1.01,94.03,1.76
ENBP,64.63,69.82,1.21,54.69,0.88
ENDP,16.55,66.93,0.61,70.57,3.54
ENFA,97.38,37.94,1.57,17.54,2.17
ENG,27.48,81.19,0.82,30.73,0.72
ENIA,17.18,18.82,0.47,25.05,1.64
ENIC,24.81,37.9,1.88,48.41,1.16
ENLC,46.9,45.37,1.09,13.73,1.57
ENLV,71.6,43.07,0.72,68.51,1.96
ENNV,75.05,62.15,0.31,52.24,2.68
ENOB,11.34,14.49,1.68,31.32,1.65
ENPC,69.79,30.64,0.25,87.27,1.25
ENPH,96.82,80.51,1.55,55.16,0.15
ENR,38.33,97.91,0.77,68.89,2.14
ENS,72.24,81.77,0.49,33.1,2.34
ENSG,59.41,78.3,0.81,17.38,1.85
ENSV,36.58,12.08,1.46,86.92,2
ENTA,55.92,18.9,1.73,66.92,2.76
ENTG,25.48,30.95,1.96,29.57,3.66
ENTX,10.33,33.67,0.96,29.34,1.29
ENV,61.73,84.53,0.91,92.95,2.35
ENVA,58.23,54.27,1.4,31.07,2.35
ENVB,72.37,68.23,0.37,42.01,3.5
ENVI,78.38,42.23,0.28,59.76,2.83
ENZ,49.1,98.93,1.31,98.32,2.9
ENZN,50.35,75.95,0.91,88.46,0.17
EOCO,95.65,22.48,0.69,72.37,2.24
EOCW,23.32,99.44,1.64,60.75,0.65
EOG,53.3,13.65,1.28,72.66,2.55
EOLS,19.17,13.39,0.63,43.38,2.52
EOSE,11.67,51.09,1.6,53.62,0.29
EPAC,39.39,44.38,0.7,97.73,1.76
EPAM,64.9,48.91,1.47,53.23,1.44
EPAY,78.67,95.78,0.01,46.61,0.2
EPC,69.3,65.99,0.77,59.84,0.83
EPD,66.63,27.75,0.27,40.7,2.8
EPHY,12.66,19.33,0.96,20.27,3.24
EPIX,88.38,39.6,0.05,29.4,1.36
EPM,61.67,39.55,0.81,47.27,1.2
EPR,26.88,29.62,1.89,29,0.95
EPRT,81.5,45.15,1.46,62.06,3.6
EPSN,37.39,84.82,0.43,22.75,3.13
EPWR,35.84,63.5,1.46,90.29,2.13
EPZM,48.56,34.75,1,85.26,3.26
EQ,15.64,92.15,1.71,21.41,0.4
EQBK,85.12,46.31,1.88,16.09,1.45
EQC,75.19,31.09,0.77,66.51,1.14
EQD,89.38,16.27,0.36,80.53,1.4
EQH,45.67,52.99,1.7,14.94,3.86
EQHA,19.88,36.07,1.94,12.19,2.64
EQIX,50.06,59.99,0.52,26.67,1.45
EQNR,18.89,18.87,1.12,77.81,0.25
EQOS,89.38,61.06,1,96.71,0.98
